------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:56:56 (uptime: 0d, 00h 00m 15s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9211
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 126
flow.mgr.flows_notimeout                      | Total                     | 109
flow.mgr.flows_timeout                        | Total                     | 17
flow.mgr.flows_evicted                        | Total                     | 17
flow.mgr.flows_evicted_needs_work             | Total                     | 6
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
flow.recycler.recycled                        | Total                     | 11
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1075244
http.memuse                                   | Total                     | 112
flow.memuse                                   | Total                     | 11588608
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:58:16 (uptime: 0d, 00h 01m 35s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1522
decoder.pkts                                  | Total                     | 1522
decoder.bytes                                 | Total                     | 626007
decoder.ipv4                                  | Total                     | 335
decoder.ipv6                                  | Total                     | 1180
decoder.ethernet                              | Total                     | 1522
decoder.arp                                   | Total                     | 7
decoder.tcp                                   | Total                     | 1334
tcp.syn                                       | Total                     | 17
